index,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
63,2021,AL,Alabama,Randolph,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,19.9,,,17.2,22.7,"21,989",1111,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.4640637 33.2964614)
64,2021,AL,Alabama,Hale,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.5,,,6.7,8.3,"14,754",1065,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-87.6230608 32.7527958)
68,2021,AL,Alabama,Cherokee,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.9,3.8,"24,996",1019,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.6542417 34.0695153)
74,2021,AL,Alabama,Talladega,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,40.0,,,35.5,44.8,"81,524",1121,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-86.1759302 33.3693135)
79,2021,AL,Alabama,Sumter,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,47.4,,,42.7,52.0,"12,164",1119,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-88.2000571 32.5974811)
80,2021,AL,Alabama,Perry,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,46.1,,,40.7,51.8,"8,355",1105,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-87.2938269 32.6390053)
81,2020,AL,Alabama,DeKalb,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,39.7,,,31.2,48.8,"71,813",1049,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-85.8040207 34.4609148)
85,2021,AL,Alabama,Conecuh,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,13.6,,,10.8,16.6,"11,328",1035,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-86.9887221 31.4309257)
89,2021,AL,Alabama,Dale,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.6,,,6.6,8.7,"49,342",1045,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-85.609476 31.4306536)
93,2021,AL,Alabama,Etowah,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,15.8,,,13.5,18.2,"103,162",1055,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-86.0342629 34.0476407)
98,2021,AL,Alabama,Perry,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,21.4,,,18.2,24.7,"8,355",1105,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-87.2938269 32.6390053)
99,2021,AL,Alabama,Coosa,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,15.4,,,12.6,18.6,"10,450",1037,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-86.2434818 32.9314453)
106,2021,AL,Alabama,Calhoun,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,19.4,27.5,"115,972",1015,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-85.8279089 33.7705162)
109,2020,AL,Alabama,Morgan,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,60.7,,,57.1,64.2,"123,668",1103,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-86.8464021 34.4544844)
120,2021,AL,Alabama,Houston,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,15.5,,,13.2,18.1,"107,458",1069,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-85.2964111 31.1581831)
123,2020,AL,Alabama,Pike,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.4,,,72.0,76.5,"32,991",1109,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-85.9416076 31.7986533)
125,2021,AL,Alabama,Clarke,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.9,,,13.7,18.2,"22,760",1025,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-87.8186244 31.6855211)
128,2021,AL,Alabama,Coosa,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.0,,,11.3,14.8,"10,450",1037,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-86.2434818 32.9314453)
135,2021,AL,Alabama,Bibb,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.6,,,3.2,4.0,"22,477",1007,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-87.1271475 33.0158929)
139,2021,AL,Alabama,Jefferson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,42.0,,,38.8,45.4,"667,820",1073,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-86.8965359 33.5534439)
140,2021,AL,Alabama,Conecuh,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,23.1,,,19.0,27.5,"11,328",1035,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.9887221 31.4309257)
142,2020,AL,Alabama,Washington,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,69.7,,,67.0,72.3,"15,147",1129,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-88.2124041 31.4085035)
143,2021,AL,Alabama,Autauga,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.0,,,3.4,4.7,"59,095",1001,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-86.6464395 32.5322367)
150,2021,AL,Alabama,Lauderdale,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,28.0,,,24.0,32.3,"94,043",1077,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-87.6509966 34.9041221)
153,2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,32.2,,,27.8,36.9,"37,619",1047,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-87.11436 32.3335263)
154,2021,AL,Alabama,Coffee,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,40.4,,,36.0,44.7,"54,174",1031,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-85.9896022 31.402258)
158,2021,AL,Alabama,Cleburne,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,20.2,,,17.2,23.4,"15,103",1029,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-85.5161261 33.6719637)
159,2021,AL,Alabama,Geneva,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,14.0,,,10.9,17.4,"26,701",1061,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-85.8210224 31.0923822)
160,2021,AL,Alabama,Geneva,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.7,,,9.4,12.2,"26,701",1061,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-85.8210224 31.0923822)
162,2021,AL,Alabama,Talladega,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,20.3,,,17.7,23.1,"81,524",1121,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-86.1759302 33.3693135)
163,2021,AL,Alabama,Lee,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,75.3,,,70.4,79.3,"177,218",1081,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-85.3530477 32.6040644)
164,2020,AL,Alabama,Pike,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,38.6,,,32.7,44.8,"32,991",1109,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-85.9416076 31.7986533)
166,2021,AL,Alabama,Sumter,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.6,,,6.0,7.4,"12,164",1119,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-88.2000571 32.5974811)
171,2020,AL,Alabama,Madison,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,85.4,,,83.4,87.2,"395,211",1089,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-86.5510802 34.7642377)
174,2021,AL,Alabama,Cherokee,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.5,,,83.5,89.2,"24,996",1019,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-85.6542417 34.0695153)
175,2021,AL,Alabama,Pickens,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,67.4,,,62.6,72.1,"18,801",1107,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-88.0968644 33.2968003)
177,2020,AL,Alabama,Sumter,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.5,,,71.9,76.8,"12,164",1119,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-88.2000571 32.5974811)
182,2021,AL,Alabama,Geneva,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,34.9,,,29.9,39.8,"26,701",1061,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-85.8210224 31.0923822)
185,2021,AL,Alabama,Autauga,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.8,,,5.6,8.1,"59,095",1001,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-86.6464395 32.5322367)
186,2021,AL,Alabama,Geneva,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.9,,,21.2,28.6,"26,701",1061,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-85.8210224 31.0923822)
188,2021,AL,Alabama,Lawrence,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,10.5,,,9.0,12.1,"33,090",1079,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-87.3218651 34.529776)
189,2021,AL,Alabama,Etowah,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,25.0,,,21.1,29.3,"103,162",1055,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.0342629 34.0476407)
190,2020,AL,Alabama,Washington,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.4,,,80.3,84.4,"15,147",1129,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-88.2124041 31.4085035)
194,2021,AL,Alabama,Etowah,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,16.8,,,14.5,19.5,"103,162",1055,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-86.0342629 34.0476407)
195,2021,AL,Alabama,Coosa,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,9.9,,,8.6,11.3,"10,450",1037,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-86.2434818 32.9314453)
198,2020,AL,Alabama,Wilcox,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,68.3,,,65.5,71.1,"10,446",1131,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-87.3049349 31.9900824)
200,2021,AL,Alabama,Escambia,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,24.4,,,20.4,28.6,"36,699",1053,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-87.1684097 31.1222867)
213,2021,AL,Alabama,Cullman,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.7,,,13.4,20.2,"89,496",1043,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-86.8692666 34.1319229)
215,2021,AL,Alabama,Jefferson,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,30.6,,,27.2,34.4,"667,820",1073,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-86.8965359 33.5534439)
224,2021,AL,Alabama,Etowah,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.8,,,9.3,14.9,"103,162",1055,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-86.0342629 34.0476407)
227,2021,AL,Alabama,Russell,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.6,,,5.8,7.4,"58,722",1113,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-85.1869798 32.2898113)
235,2020,AL,Alabama,Mobile,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,58.4,,,55.2,61.5,"413,073",1097,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-88.1965682 30.6845725)
241,2020,AL,Alabama,Pickens,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40.9,,,39.7,42.1,"18,801",1107,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-88.0968644 33.2968003)
242,2021,AL,Alabama,Dale,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.5,,,3.9,5.2,"49,342",1045,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-85.609476 31.4306536)
243,2021,AL,Alabama,Madison,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.4,3.1,"395,211",1089,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-86.5510802 34.7642377)
244,2020,AL,Alabama,Elmore,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.0,,,7.9,16.7,"89,304",1051,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-86.1427347 32.597229)
246,2021,AL,Alabama,Franklin,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,23.0,,,19.6,26.5,"32,013",1059,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-87.8428144 34.4419892)
251,2021,AL,Alabama,Perry,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,84.2,,,81.9,86.3,"8,355",1105,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-87.2938269 32.6390053)
253,2020,AL,Alabama,Randolph,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,70.0,,,67.1,73.1,"21,989",1111,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-85.4640637 33.2964614)
254,2020,AL,Alabama,Bullock,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,45.0,,,41.5,48.3,"10,320",1011,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-85.7172613 32.1017589)
255,2020,AL,Alabama,Wilcox,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,83.0,,,80.8,85.1,"10,446",1131,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-87.3049349 31.9900824)
256,2020,AL,Alabama,Montgomery,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.9,,,72.7,77.1,"227,434",1101,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-86.2044615 32.2028812)
258,2021,AL,Alabama,Crenshaw,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,14.8,,,12.0,18.0,"13,083",1041,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-86.3200384 31.7303106)
261,2021,AL,Alabama,Clay,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.4,,,3.0,3.9,"14,190",1027,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.8635254 33.2703999)
270,2021,AL,Alabama,Bibb,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.5,"22,477",1007,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-87.1271475 33.0158929)
271,2021,AL,Alabama,Mobile,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,35.9,,,31.8,40.1,"413,073",1097,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-88.1965682 30.6845725)
272,2020,AL,Alabama,Tuscaloosa,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,40.1,,,38.6,41.5,"227,007",1125,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-87.5227834 33.2902197)
273,2021,AL,Alabama,Pickens,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,10.2,,,8.7,11.9,"18,801",1107,HLTHOUT,COPD,CrdPrv,COPD,POINT (-88.0968644 33.2968003)
283,2021,AL,Alabama,Dale,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,7.8,,,6.5,9.3,"49,342",1045,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-85.609476 31.4306536)
293,2020,AL,Alabama,Marengo,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,36.5,,,31.4,42.0,"18,996",1091,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-87.791091 32.2475911)
295,2021,AL,Alabama,Limestone,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,14.3,,,12.1,16.7,"107,517",1083,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-86.9813995 34.8102387)
303,2021,AL,Alabama,Greene,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,8.8,,,7.8,10.0,"7,629",1063,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-87.9642005 32.8444965)
305,2021,AL,Alabama,Lamar,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.6,6.1,"13,689",1075,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-88.0874309 33.7870852)
307,2021,AL,Alabama,Coffee,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,30.6,,,25.5,35.7,"54,174",1031,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-85.9896022 31.402258)
311,2021,AL,Alabama,Chilton,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,21.3,,,17.2,25.3,"45,274",1021,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-86.7266071 32.8540514)
317,2021,AL,Alabama,Randolph,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,12.0,,,10.3,14.0,"21,989",1111,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-85.4640637 33.2964614)
318,2021,AL,Alabama,Madison,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.0,,,2.6,3.4,"395,211",1089,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-86.5510802 34.7642377)
320,2021,AL,Alabama,Choctaw,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,83.4,,,79.6,86.3,"12,533",1023,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-88.2488894 31.9909539)
321,2020,AL,Alabama,Lauderdale,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,59.4,,,55.6,63.4,"94,043",1077,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-87.6509966 34.9041221)
325,2021,AL,Alabama,Russell,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,7.1,,,6.2,8.0,"58,722",1113,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-85.1869798 32.2898113)
328,2021,AL,Alabama,Marengo,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,7.4,,,6.4,8.5,"18,996",1091,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-87.791091 32.2475911)
330,2021,AL,Alabama,Mobile,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.5,7.2,"413,073",1097,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-88.1965682 30.6845725)
333,2021,AL,Alabama,Bibb,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,19.4,27.6,"22,477",1007,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-87.1271475 33.0158929)
334,2021,AL,Alabama,Calhoun,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.7,,,18.7,26.8,"115,972",1015,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-85.8279089 33.7705162)
335,2021,AL,Alabama,Perry,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,22.1,,,19.1,25.3,"8,355",1105,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-87.2938269 32.6390053)
336,2021,AL,Alabama,Clarke,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,4.0,,,3.5,4.4,"22,760",1025,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-87.8186244 31.6855211)
